given,family,sequence,affiliation,DOI
Roland C.,Merchant,first,"Bringham and Women’s Hospital, Harvard Medical School, Boston, MA, USA + The Warren Alpert Medical School of Brown University, Providence, RI, USA + Brown University School of Public Health, Providence, RI, USA",10.1177/21582440211047588
David,Hernandez,additional,"The Warren Alpert Medical School of Brown University, Providence, RI, USA + Rhode Island Hospital, Providence, RI, USA",10.1177/21582440211047588
Dora,Estrela,additional,"Rhode Island Hospital, Providence, RI, USA",10.1177/21582440211047588
Elsie,Fernandez,additional,"Rhode Island Hospital, Providence, RI, USA",10.1177/21582440211047588
Melissa A.,Clark,additional,"The Warren Alpert Medical School of Brown University, Providence, RI, USA + Brown University School of Public Health, Providence, RI, USA",10.1177/21582440211047588
Michael P.,Carey,additional,"The Warren Alpert Medical School of Brown University, Providence, RI, USA + Brown University School of Public Health, Providence, RI, USA + The Miriam Hospital, Providence, RI, USA",10.1177/21582440211047588
Kaliyev Kalizhan,Sagatbekovich,first,"University of KIMEP, Almaty, Kazakhstan",10.1177/21582440211061537
Mira,Nurmakhanova,additional,"University of KIMEP, Almaty, Kazakhstan",10.1177/21582440211061537
Yubin,Qian,first,"University of Chinese Academy of Sciences, Beijing, China",10.1177/21582440211032198
Ya,Sun,additional,"University of International Business and Economics, Beijing, China",10.1177/21582440211032198
David J. K.,Hardecker,first,"Department of Comparative Cultural Psychology, Max-Planck-Institute for Evolutionary Anthropology, Leipzig, Germany + Leipzig Research Center For Early Child Development, Leipzig University, Germany",10.1177/21582440211009223
Marco F. H.,Schmidt,additional,"Department of Psychology, University of Bremen, Germany + Department of Psychology, LMU Munich, Germany",10.1177/21582440211009223
Daniel B. M.,Haun,additional,"Department of Comparative Cultural Psychology, Max-Planck-Institute for Evolutionary Anthropology, Leipzig, Germany + Leipzig Research Center For Early Child Development, Leipzig University, Germany",10.1177/21582440211009223
Muhammad,Sarfraz,first,"Universiti Teknologi Malaysia, Johor Bahru, Johor, Malaysia",10.1177/21582440211046941
Zahid,Hussain,additional,"National Textile University, Faisalabad, Punjab, Pakistan",10.1177/21582440211046941
Nausheen,Syed,additional,"Government College Women University, Faisalabad, Punjab, Pakistan",10.1177/21582440211046941
Faiza,Rehman,additional,"Government College Women University, Faisalabad, Punjab, Pakistan",10.1177/21582440211046941
Shah,Rollah Bin Abdul Wahab,additional,"Universiti Teknologi Malaysia, Johor Bahru, Johor, Malaysia",10.1177/21582440211046941
Muhammad,Salihuddin,additional,"Universiti Teknologi Malaysia, Johor Bahru, Johor, Malaysia",10.1177/21582440211046941
Christina,Hart,first,"Sussex Partnership NHS Trust, UK",10.1177/21582440211023198
Inga,Boellinghaus,additional,"South London and Maudsley NHS Foundation Trust, UK + Tamworth Road Resource Centre, Croydon, UK",10.1177/21582440211023198
Sue,Holttum,additional,"Canterbury Christ Church University, UK",10.1177/21582440211023198
Melanie,Shepherd,additional,"Lambeth and Southwark Mind, London, UK",10.1177/21582440211023198
Clare,O’Brien,additional,"Finsbury Health Centre, London, UK",10.1177/21582440211023198
Daniel,Salter,additional,"Canterbury Christ Church University, UK",10.1177/21582440211023198
Idu R.,Egbenta,first,"University of Nigeria, Enugu, Nigeria",10.1177/21582440211032167
Smart N.,Uchegbu,additional,"University of Nigeria, Enugu, Nigeria",10.1177/21582440211032167
Ejike,Ubani,additional,"University of Nigeria, Enugu, Nigeria",10.1177/21582440211032167
Okwuchi Juliet,Akalemeaku,additional,"University of Nigeria, Enugu, Nigeria",10.1177/21582440211032167
Bin,Zou,first,"Xi’an Jiaotong-Liverpool University, Suzhou, China",10.1177/21582440211054491
Lulu,Huang,additional,"Xi’an Jiaotong-Liverpool University, Suzhou, China",10.1177/21582440211054491
Wulin,Ma,additional,"Sichuan International Studies University, Sichuan, China",10.1177/21582440211054491
Yuqing,Qiu,additional,"Xi’an Jiaotong-Liverpool University, Suzhou, China",10.1177/21582440211054491
Pınar,Miç,first,"Tarsus University, Turkey",10.1177/21582440211040115
Z. Figen,Antmen,additional,"Cukurova University, Adana, Turkey",10.1177/21582440211040115
Bingqiang,Li,first,"Jiangxi Science & Technology Normal University, Nanchang, China",10.1177/21582440211047578
Jing,Yu,additional,"Jiangxi Science & Technology Normal University, Nanchang, China",10.1177/21582440211047578
Lei,Huang,additional,"Jiangxi Science & Technology Normal University, Nanchang, China",10.1177/21582440211047578
Jinzhi,Li,additional,"Jiangxi Science & Technology Normal University, Nanchang, China",10.1177/21582440211047578
Changhan,Luo,additional,"Shaoxing University, Zhejiang, China",10.1177/21582440211047578
Anya Ude,Egwu,first,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211023160
Ebuka Elias,Igwebuike,additional,"Christian-Albrecht University of Kiel, Germany + Alex Ekwueme Federal University Ndufu-Alike, Ikwo, Nigeria",10.1177/21582440211023160
Chinasa,Abonyi,additional,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211023160
Jahanzaib,Haider,first,"University of Kuala Lumpur, Malaysia",10.1177/21582440211022322
Abdul,Qayyum,additional,"Bahria Business School, Bahria University, Islamabad, Pakistan",10.1177/21582440211022322
Zalina,Zainudin,additional,"University of Kuala Lumpur, Malaysia",10.1177/21582440211022322
Innocent A.,Nwosu,first,"Alex Ekwueme Federal University Ndufu-Alike Ikwo (FUNAI), Nigeria",10.1177/21582440211050375
Ben,Ohuruogu,additional,"Ebonyi State University, Abakaliki, Nigeria",10.1177/21582440211050375
Joseph O. A.,Ekpechu,additional,"Alex Ekwueme Federal University Ndufu-Alike Ikwo (FUNAI), Nigeria",10.1177/21582440211050375
Ethelbert,Okoronkwo,additional,"Alex Ekwueme Federal University Ndufu-Alike Ikwo (FUNAI), Nigeria",10.1177/21582440211050375
Christiana O.,Chukwu,additional,"Alex Ekwueme Federal University Ndufu-Alike Ikwo (FUNAI), Nigeria",10.1177/21582440211050375
Chinazor Franca,Obi,additional,"Alex Ekwueme Federal University Ndufu-Alike Ikwo (FUNAI), Nigeria",10.1177/21582440211050375
Francis C.,Ofoegbu,additional,"Alex Ekwueme Federal University Ndufu-Alike Ikwo (FUNAI), Nigeria",10.1177/21582440211050375
Sharron Xuanren,Wang,first,"Delaware State University, Dover, USA",10.1177/21582440211009197
Arthur,Sakamoto,additional,"Texas A&M University, College Station, USA",10.1177/21582440211009197
MaryJoy,Umoke,first,"Ebonyi State Ministry of Health Abakaliki, Nigeria",10.1177/21582440211006382
Prince Christian Ifeanachor,Umoke,additional,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211006382
Chioma Adaora,Nwalieji,additional,"Ebonyi State Ministry of Health Abakaliki, Nigeria",10.1177/21582440211006382
Rosemary N.,Onwe,additional,"Ebonyi State University, Abakaliki, Nigeria",10.1177/21582440211006382
Ifeanyi Emmanuel,Nwafor,additional,"Alex Ekwueme Federal University Teaching Hospital Abakaliki, Nigeria",10.1177/21582440211006382
Samson Olaoluwa,Agbaje,additional,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211006382
Ignatius O.,Nwimo,additional,"Ebonyi State University, Abakaliki, Nigeria",10.1177/21582440211006382
Munazza,Majeed,first,"Fatima Jinnah Women University, Rawalpindi, Pakistan",10.1177/2158244021997419
Uzma,Imtiaz,additional,"Fatima Jinnah Women University, Rawalpindi, Pakistan",10.1177/2158244021997419
Akifa,Imtiaz,additional,"Fatima Jinnah Women University, Rawalpindi, Pakistan",10.1177/2158244021997419
Humaira,Bibi,first,"Hazara University Mansehra, Pakistan",10.1177/2158244020986157
Syeda Farhana,Kazmi,additional,"Hazara University Mansehra, Pakistan",10.1177/2158244020986157
Adrian J.,Bailey,first,"Beijing Normal University-Hong Kong Baptist University, United International College, Zhuhai, Guangdong, China",10.1177/21582440211016457
Dušan,Drbohlav,additional,"Charles University, Prague, Czechia",10.1177/21582440211016457
Dagmara,Dzúrová,additional,"Charles University, Prague, Czechia",10.1177/21582440211016457
Ghulam Mujtaba,Kayani,first,"Hubei University of Economics, Wuhan, P.R. China + COMSATS University Islamabad, Pakistan",10.1177/21582440211006051
Yasmeen,Akhtar,additional,"COMSATS University Islamabad, Pakistan + University of Sargodha, Pakistan",10.1177/21582440211006051
Chen,Yiguo,additional,"Hubei University of Economics, Wuhan, P.R. China + China Academy of Sciences, Beijing, P.R. China",10.1177/21582440211006051
Tahir,Yousaf,additional,"Business School of Sichuan University, Chengdu, P.R. China",10.1177/21582440211006051
Syed Jawad Hussain,Shahzad,additional,"Montpellier Business School, France + South Ural State University, Chelyabinsk, Russia",10.1177/21582440211006051
Lang,Liang,first,"Hefei University of Technology, Hefei, China + Henan University of Technology, Zhengzhou, China",10.1177/21582440211026954
Phimai,Nuansi,first,"Independent Researcher, Bangkok, Thailand",10.1177/21582440211040788
Piya,Ngamcharoenmongkol,additional,"National Institute of Development Administration, Bangkok, Thailand",10.1177/21582440211040788
Yavuz,Bolat,first,"Faculty of Education, Department of Educational Science, Mustafa Kemal University, Hatay, Turkey",10.1177/21582440211023179
Celalettin,Korkmaz,additional,"Faculty of Education, Department of Educational Science, Mustafa Kemal University, Hatay, Turkey",10.1177/21582440211023179
Jesster P.,Eduardo,first,"Nueva Ecija University of Science and Technology, Cabanatuan City, Philippines",10.1177/21582440211009491
Arneil G.,Gabriel,additional,"Nueva Ecija University of Science and Technology, Cabanatuan City, Philippines",10.1177/21582440211009491
Ying,Teng,first,"University of Electronic Science and Technology of China, Chengdu, China",10.1177/21582440211007132
Eli,Gimmon,additional,"Tel-Hai College, Upper Galilee, Israel",10.1177/21582440211007132
Wentong,Lu,additional,"University of Electronic Science and Technology of China, Chengdu, China",10.1177/21582440211007132
Gentian,Qejvanaj,first,"Zhejiang University, Hangzhou, China",10.1177/21582440211027871
Meihua,Liu,first,"Tsinghua University, Beijing, China",10.1177/21582440211016556
Bin,Wu,additional,"Tsinghua University, Beijing, China + Chang’an University, Xi’an, China",10.1177/21582440211016556
Yumei,HOU,first,"School of Management, Yangen University, Quanzhou Fujian Province, China",10.1177/21582440211032173
Maryam,Khokhar,additional,"School of Economics and Management Yanshan University, Qinhuangdao, China",10.1177/21582440211032173
Mumtaz,Khan,additional,"Department of Business Studies, Bahria Business School, Bahria University Karachi Campus, Karachi, Pakistan",10.1177/21582440211032173
Tahir,Islam,additional,"School of Management and Economics, Tongji University, Shanghai, China + Faculty of Business Administration, Mohammad ALi Jinnah University, Karachi, Pakistan",10.1177/21582440211032173
Imtiaz,Haider,additional,"Higher Education Commission, Islamabad, Pakistan",10.1177/21582440211032173
Jurga,Bucaite-Vilke,first,"Vytautas Magnus University, Kaunas, Lithuania",10.1177/21582440211032641
Peter Nwachukwu,Mba,first,"University of Calabar, Nigeria",10.1177/21582440211002214
Emmanuel O.,Nwosu,additional,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211002214
Anthony,Orji,additional,"University of Nigeria, Nsukka, Nigeria",10.1177/21582440211002214
Zhijie,Guan,first,"Changzhou University, P. R. China",10.1177/21582440211058184
Yue,Zhang,additional,"Changzhou University, P. R. China",10.1177/21582440211058184
Ip Ping Sheong Jim,Kwee Fat,additional,"Changzhou University, P. R. China",10.1177/21582440211058184
Ahmad Mohammad Ali,Alzoubi,first,"Psychology Department, Ajman University & Psychology and Special Education Department, AL-Balqa Applied University",10.1177/21582440211008876
Mohammad Farhan,Al. Qudah,additional,"King Saud University, Riyadh, Saudi Arabia",10.1177/21582440211008876
Ismael Salamah,Albursan,additional,"King Saud University, Riyadh, Saudi Arabia",10.1177/21582440211008876
Salaheldin Farah Attallah,Bakhiet,additional,"King Saud University, Riyadh, Saudi Arabia",10.1177/21582440211008876
Ali. A.,Alfnan,additional,"King Saud University, Riyadh, Saudi Arabia",10.1177/21582440211008876
Niraj Prakash,Joshi,first,"International Economic Development Program, Graduate School of Humanities and Social Sciences, Hiroshima University, Hiroshima, Japan + TAOYAKA Program, Hiroshima University, Hiroshima, Japan",10.1177/21582440211010168
Luni,Piya,additional,"International Economic Development Program, Graduate School of Humanities and Social Sciences, Hiroshima University, Hiroshima, Japan",10.1177/21582440211010168
Dominic,Glynn,first,"City University of Hong Kong, Kowloon, Hong Kong SAR, China",10.1177/21582440211040795
Xiaowen,Wang,first,"Lanzhou University, P.R. China",10.1177/21582440211001866
Ying,Ma,additional,"Lanzhou University, P.R. China + Lanzhou University of Finance and Economics, P.R. China",10.1177/21582440211001866
Wen,Li,additional,"Lanzhou University of Finance and Economics, P.R. China",10.1177/21582440211001866
Nazir Muhammad,Abdullahi,first,"Northwest A&F University, Shaanxi, China + Kano State Polytechnic, Nigeria",10.1177/21582440211065770
Xuexi,Huo,additional,"Northwest A&F University, Shaanxi, China",10.1177/21582440211065770
Qiangqiang,Zhang,additional,"Northwest A&F University, Shaanxi, China",10.1177/21582440211065770
Aminah,Bolanle Azeez,additional,"Ekiti State University, Nigeria",10.1177/21582440211065770
Jamshed,Raza,first,"Business School, University of International Business and Economics, Beijing, China",10.1177/21582440211000046
Yuxin,Liu,additional,"Business School, University of International Business and Economics, Beijing, China",10.1177/21582440211000046
Jianwei,Zhang,additional,"School of Humanities and Social Sciences, Beijing Institute of Technology, China",10.1177/21582440211000046
Nan,Zhu,additional,"Business School, University of International Business and Economics, Beijing, China",10.1177/21582440211000046
Zohaib,Hassan,additional,"Faculty of Management, Virtual University of Pakistan, Lahore, Pakistan",10.1177/21582440211000046
Habib,Gul,additional,"Business School, University of International Business and Economics, Beijing, China",10.1177/21582440211000046
Sikander,Hussain,additional,"Business School, University of International Business and Economics, Beijing, China",10.1177/21582440211000046
Cem Cagri,Donmez,first,"Deparment of Industrial Engineering, Marmara University, Kadikoy, Istanbul, Turkey",10.1177/2158244021994809
Doruk,Sen,additional,"Department of Industrial Engineering, Istanbul Bilgi University, Eyupsultan, Istanbul, Turkey",10.1177/2158244021994809
Ahmet Fatih,Dereli,additional,"Deparment of Industrial Engineering, Marmara University, Kadikoy, Istanbul, Turkey",10.1177/2158244021994809
M. Bilal,Horasan,additional,"Deparment of Industrial Engineering, Marmara University, Kadikoy, Istanbul, Turkey",10.1177/2158244021994809
Cagri,Yildiz,additional,"Deparment of Industrial Engineering, Marmara University, Kadikoy, Istanbul, Turkey",10.1177/2158244021994809
Nergis Feride,Kaplan Donmez,additional,"Department of Public Finance, Istanbul Medeniyet University, Kadikoy, Istanbul, Turkey",10.1177/2158244021994809
Yuqing,Geng,first,"Shanghai Dianji University, China",10.1177/21582440211009198
Han,Zhang,additional,"Shanghai Dianji University, China",10.1177/21582440211009198
Jui-Jung,Tsao,first,"Ming Chuan University, Taoyuan",10.1177/21582440211023172
Wen-Ta,Tseng,additional,"National Taiwan University of Science and Technology, Taipei",10.1177/21582440211023172
Tsung-Yuan,Hsiao,additional,"National Taiwan Ocean University, Keelung",10.1177/21582440211023172
Chaochang,Wang,additional,"Ming Chuan University, Taoyuan",10.1177/21582440211023172
Andy Xuesong,Gao,additional,"University of New South Wales, Sydney, Australia",10.1177/21582440211023172
Jiaqi,Liu,first,"Fudan University, Shanghai, China",10.1177/2158244020985510
Jiayan,Lin,additional,"Massey University, Auckland, New Zealand",10.1177/2158244020985510
Simona,Șimon,first,"Politehnica University of Timișoara, Timiș, Romania",10.1177/21582440211053241
Claudia E.,Stoian,additional,"Politehnica University of Timișoara, Timiș, Romania",10.1177/21582440211053241
Anca,Dejica-Carțiș,additional,"Politehnica University of Timișoara, Timiș, Romania",10.1177/21582440211053241
Andrea,Kriston,additional,"Politehnica University of Timișoara, Timiș, Romania",10.1177/21582440211053241
Drina,Intyaswati,first,"Universitas Pembangunan Nasional “Veteran” Jakarta, Indonesia",10.1177/21582440211023181
Eni,Maryani,additional,"Universitas Padjadjaran, Jatinangor, Indonesia",10.1177/21582440211023181
Dadang,Sugiana,additional,"Universitas Padjadjaran, Jatinangor, Indonesia",10.1177/21582440211023181
Anter,Venus,additional,"Universitas Padjadjaran, Jatinangor, Indonesia",10.1177/21582440211023181
Nina,Su,first,"Taiyuan University of Technology, China",10.1177/2158244021994854
Zhuqin,Shi,additional,"Taiyuan University of Science and Technology, China",10.1177/2158244021994854
Xianqi,Zhu,additional,"Taiyuan University of Technology, China",10.1177/2158244021994854
Yunsheng,Xin,additional,"Taiyuan University of Science and Technology, China",10.1177/2158244021994854
Ji,Liu,first,"Shaanxi Normal University, Xian, China",10.1177/21582440211060810
Antonio,Ariza-Montes,first,"Universidad Loyola Andalucía, Cordoba, Spain",10.1177/2158244020988733
Antonio,Sianes,additional,"Universidad Loyola Andalucía, Cordoba, Spain",10.1177/2158244020988733
Vicente,Fernández-Rodríguez,additional,"Universidad Loyola Andalucía, Cordoba, Spain",10.1177/2158244020988733
Carmen,López-Martín,additional,"Universidad Loyola Andalucía, Cordoba, Spain",10.1177/2158244020988733
Mercedes,Ruíz-Lozano,additional,"Universidad Loyola Andalucía, Cordoba, Spain",10.1177/2158244020988733
Pilar,Tirado-Valencia,additional,"Universidad Loyola Andalucía, Cordoba, Spain",10.1177/2158244020988733
Kamyar,Fuladlu,first,"Eastern Mediterranean University, Famagusta, Northern Cyprus",10.1177/21582440211007465
Müge,Riza,additional,"Eastern Mediterranean University, Famagusta, Northern Cyprus",10.1177/21582440211007465
Mustafa,Ilkan,additional,"Eastern Mediterranean University, Famagusta, Northern Cyprus",10.1177/21582440211007465
Siti Hajar,Sabran,first,"Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia",10.1177/21582440211064894
Azlan,Abas,additional,"Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia",10.1177/21582440211064894
Badar Nadeem,Ashraf,first,"Jiangxi University of Finance and Economics, Nanchang, China",10.1177/21582440211032640
Ningyu,Qian,additional,"Huazhong University of Science & Technology, Wuhan, China",10.1177/21582440211032640
Carolyn,Huysamer,first,"University of South Africa, Pretoria, South Africa",10.1177/21582440211032177
Johannes,Seroto,additional,"University of South Africa, Pretoria, South Africa",10.1177/21582440211032177
Shih-ping,Wang,first,"National Taiwan University of Science and Technology, Taipei",10.1177/21582440211008893
Wen-Ta,Tseng,additional,"National Taiwan University of Science and Technology, Taipei",10.1177/21582440211008893
Robert,Johanson,additional,"National Taiwan University of Science and Technology, Taipei",10.1177/21582440211008893
Xiao,Wang,first,"Nanjing University, Jiangsu, China",10.1177/21582440211061525
Yi-Hui Christine,Huang,additional,"City University of Hong Kong, China + The Chinese University of Hong Kong, Hong Kong",10.1177/21582440211061525
Qiudi,Wu,additional,"The Chinese University of Hong Kong, Hong Kong",10.1177/21582440211061525
Ivy Wai-Yin,Fong,additional,"The Chinese University of Hong Kong, Hong Kong",10.1177/21582440211061525
Haya,Kaplan,first,"Kaye Academic College of Education, Beer Sheva, Israel",10.1177/21582440211015680
Yin,Ma,first,"School of Philosophy & Sociology, Lanzhou University, Gansu, China",10.1177/2158244020988867
Shih-Chih,Chen,additional,"National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan",10.1177/2158244020988867
Athapol,Ruangkanjanases,additional,"Chulalongkorn University, Bangkok, Thailand",10.1177/2158244020988867
Rumana,Huque,first,"ARK Foundation, Dhaka, Bangladesh",10.1177/21582440211011458
Zunayed,Al Azdi,additional,"ARK Foundation, Dhaka, Bangladesh",10.1177/21582440211011458
Bassey,Ebenso,additional,"University of Leeds, UK",10.1177/21582440211011458
Shammi,Nasreen,additional,"ARK Foundation, Dhaka, Bangladesh",10.1177/21582440211011458
Ayesha Afroz,Chowdhury,additional,"Ministry of Health and Family Welfare, Dhaka, Bangladesh",10.1177/21582440211011458
Helen,Elsey,additional,"University of York, UK",10.1177/21582440211011458
Tolib,Mirzoev,additional,"University of Leeds, UK",10.1177/21582440211011458
Yilin,Zhou,first,"Jiangsu University, Zhenjiang, China",10.1177/21582440211031616
Hongbo,Li,additional,"Jiangsu University, Zhenjiang, China",10.1177/21582440211031616
Fakhar,Shahzad,additional,"Jiangsu University, Zhenjiang, China + Ilma University, Karachi, Pakistan",10.1177/21582440211031616
Abira,Reizer,first,"Ariel University, Israel",10.1177/21582440211067246
Lior,Oren,additional,"Ariel University, Israel",10.1177/21582440211067246
Yonadav,Hornik,additional,"Ariel University, Israel",10.1177/21582440211067246
Abdul,Sattar,first,"School of Economics and Finance, Xi’an Jiaotong University, Xi’an, Shaanxi, China + Office of Research Innovation and Commercialization (ORIC), Government College University, Lahore, Pakistan",10.1177/21582440221078301
Temesgen Hordofa,Tolassa,additional,"School of Economics and Finance, Xi’an Jiaotong University, Xi’an, Shaanxi, China",10.1177/21582440221078301
Muhammad Noshab,Hussain,additional,"School of Economics and Finance, Xi’an Jiaotong University, Xi’an, Shaanxi, China",10.1177/21582440221078301
Muhammad,Ilyas,additional,"School of Economics and Finance, Xi’an Jiaotong University, Xi’an, Shaanxi, China",10.1177/21582440221078301
Jingjing,Hu,first,"Sun Yat-sen University, Guangzhou, China",10.1177/21582440211001867
Xuesong(Andy),Gao,additional,"The University of New South Wales, Sydney, Australia",10.1177/21582440211001867
Xuyan,Qiu,additional,"The Open University of Hong Kong, Kowloon, Hong Kong, China",10.1177/21582440211001867
Rastislav,Metruk,first,"University of Žilina, Slovakia",10.1177/21582440221079627
Benjamin Okorie,Ajah,first,"University of Nigeria, Nsukka, Enugu Campus, Nigeria",10.1177/21582440221079822
Uzochukwu Chukwuka,Chinweze,additional,"University of Nigeria, Nsukka, Enugu Campus, Nigeria",10.1177/21582440221079822
Ifeyinwa Angela,Ajah,additional,"Ebonyi State University, Abakaliki, Nigeria",10.1177/21582440221079822
Dominic Chukwuemeka,Onyejegbu,additional,"University of Nigeria, Nsukka, Enugu Campus, Nigeria",10.1177/21582440221079822
Aloysius C.,Obiwulu,additional,"University of Nigeria, Nsukka, Enugu Campus, Nigeria",10.1177/21582440221079822
Emeka M.,Onwuama,additional,"University of Nigeria, Nsukka, Enugu Campus, Nigeria",10.1177/21582440221079822
John Thompson,Okpa,additional,"University of Calabar, Cross River, Nigeria",10.1177/21582440221079822
Shu-Rong,Zhao,first,"Shandong Women’s University, Jinan, China",10.1177/21582440211058203
Hong,Li,additional,"Shandong Women’s University, Jinan, China",10.1177/21582440211058203
Kashif,Iqbal,first,"Binjiang College, Nanjing University of Information Science & Technology, Wuxi, China",10.1177/21582440211001371
Yichu,Wang,additional,"School of Oriental and African Studies (SOAS), University of London, UK",10.1177/21582440211001371
Khurshaid,Khurshaid,additional,"University of Peshawar, Pakistan",10.1177/21582440211001371
Muhammad,Haroon Shah,additional,"Binjiang College, Nanjing University of Information Science & Technology, Wuxi, China",10.1177/21582440211001371
Muhammad,Sohaib,additional,"Xi’an Jiaotong University, China",10.1177/21582440211001371
Barbara,Šlibar,first,"University of Zagreb, Varaždin, Croatia",10.1177/21582440211023178
Dijana,Oreški,additional,"University of Zagreb, Varaždin, Croatia",10.1177/21582440211023178
Nina,Begičević Ređep,additional,"University of Zagreb, Varaždin, Croatia",10.1177/21582440211023178
Xiaozhe,Yang,first,"East China Normal University, Shanghai, China",10.1177/21582440211032659
Pei-Yu,Cheng,additional,"Tamlamg University, New Taipei City",10.1177/21582440211032659
Yueh-Min,Huang,additional,"National Cheng Kung University, Tainan City, Taiwan",10.1177/21582440211032659
Yen-Ku,Kuo,first,"Bachelor Program of Leisure Management, Commercial College, Chinese Culture University, Taipei + Department of Bio-Industry Communication and Development, College of BioResources and Agriculture, National Taiwan University, Taipei",10.1177/21582440211067238
Jiun-Hao,Wang,additional,"Department of Bio-Industry Communication and Development, College of BioResources and Agriculture, National Taiwan University, Taipei",10.1177/21582440211067238
Tsung-Hsien,Kuo,additional,"Department of Banking and Finance, College of Business and Management, Tamkang University, New Taipei City",10.1177/21582440211067238
Li-An,Ho,additional,"Department of Banking and Finance, College of Business and Management, Tamkang University, New Taipei City + Department of Educational Technology, College of Education, Tamkang University, New Taipei City",10.1177/21582440211067238
Jingjing,Wang,first,"Hubei University, Wuhan, China",10.1177/21582440211005454
Liangjing,Zeng,additional,"The University of Auckland, New Zealand",10.1177/21582440211005454
Yunsoo,Lee,first,"Shandong University, Qingdao, China",10.1177/21582440211029227
Meng-Hsiu,Lee,first,"Yango University, Fuzhou, China",10.1177/2158244020985526
Chan,Wang,additional,"Xiamen University, Xiamen, China",10.1177/2158244020985526
Tzu-Jung,Wu,additional,"National Tsing Hua University, Hsinchu, Taiwan",10.1177/2158244020985526
Ming-Yu,Yen,additional,"National Sun Yat-sen University, Kaohsiung, Taiwan",10.1177/2158244020985526
Cheng,Zhe,first,"Hubei University, Wuhan, China + Tsinghua University, Beijing, China",10.1177/21582440211050381
Xingfu,Lu,additional,"Tsinghua University, Beijing, China",10.1177/21582440211050381
Xiong,Xiong,additional,"Hubei University, Wuhan, China",10.1177/21582440211050381
Muhammad,Midhat Ali,first,"NED University of Engineering & Technology, Karachi, Pakistan",10.1177/21582440211006124
Sheheryar Mohsin,Qureshi,additional,"NED University of Engineering & Technology, Karachi, Pakistan",10.1177/21582440211006124
Muhammad Saad,Memon,additional,"Mehran University of Engineering & Technology, Jamshoro, Pakistan",10.1177/21582440211006124
Sonia Irshad,Mari,additional,"Mehran University of Engineering & Technology, Jamshoro, Pakistan",10.1177/21582440211006124
Muhammad Babar,Ramzan,additional,"National Textile University, Faisalabad, Pakistan",10.1177/21582440211006124
Un-Kon,Lee,first,"The University of Suwon, Hwaseong, Korea",10.1177/2158244020988380
Almas,Khanum,first,"GC University, Lahore, Pakistan",10.1177/21582440211054484
Faiza,Bashir,additional,"Government College for Women, Township, Lahore, Pakistan",10.1177/21582440211054484
Nazanin,Naderiadib Alpler,first,"Eastern Mediterranean University, Mersin, Turkey",10.1177/2158244021994504
Huseyin,Arasli,additional,"University of Stavanger, Norway",10.1177/2158244021994504
Winifred Lema,Doh,additional,"Eastern Mediterranean University, Mersin, Turkey",10.1177/2158244021994504
Sogo Angel,Olofinbiyi,first,"University of KwaZulu-Natal, Durban, Republic of South Africa",10.1177/21582440211006148
Ivan,Byaruhanga,first,"Oslo Metropolitan University, Norway",10.1177/2158244021989311
Jonas,Debesay,additional,"Oslo Metropolitan University, Norway",10.1177/2158244021989311
Masumi,Soneta,first,"Tokyo Medical and Dental University, Tokyo, Japan",10.1177/21582440211009211
Akiko,Kondo,additional,"Tokyo Medical and Dental University, Tokyo, Japan",10.1177/21582440211009211
Renaguli,Abuliezi,additional,"Tokyo Medical and Dental University, Tokyo, Japan",10.1177/21582440211009211
Aya,Kimura,additional,"Toranomon Hospital, Tokyo, Japan",10.1177/21582440211009211
H. Tolga,Esen,first,"Akdeniz University, Antalya, Turkey",10.1177/21582440211031897
Meriç,Eraslan,additional,"Akdeniz University, Antalya, Turkey",10.1177/21582440211031897
Mustafa,Altınkök,additional,"Akdeniz University, Antalya, Turkey",10.1177/21582440211031897
Hakan,Eravşar,additional,"Akdeniz University, Antalya, Turkey",10.1177/21582440211031897
Bahadır,Demir,additional,"Republic of Turkey Ministry of National Education, Antalya, Turkey",10.1177/21582440211031897
Sinem,Özküçük,additional,"İstanbul Technical University, İstanbul, Turkey",10.1177/21582440211031897
Buket,Şeran,additional,"Akdeniz University, Antalya, Turkey",10.1177/21582440211031897
Bruce,Tranter,first,"University of Tasmania, Hobart, Australia",10.1177/21582440211032673
Yue,Meng-Lewis,first,"The Open University Business School, Milton Keynes, UK",10.1177/21582440211006730
Huiping,Xian,additional,"Sheffield University Management School, UK",10.1177/21582440211006730
Gavin,Lewis,additional,"Staffordshire University, Stoke-on-Trent, UK",10.1177/21582440211006730
Yupei,Zhao,additional,"Zhejiang University, Hangzhou, China",10.1177/21582440211006730
Cletus O.,Obasi,first,"University of Nigeria, Nsukka, Enugu State, Nigeria",10.1177/21582440211045078
Christopher M.,Anierobi,additional,"University of Nigeria, Nsukka, Enugu State, Nigeria",10.1177/21582440211045078
Sylvia,Grills,first,"Queen’s University, Kingston, Ontario, Canada",10.1177/21582440211023398
