given,family,sequence,affiliation,DOI
Saket,Mishra,first,"Lecturer, Ampg College, BHU",10.20935/al2610
Baris,Topcular,first,,10.20935/al953
Cigdem,Turkmen,additional,,10.20935/al953
Atanu,Bhuyan,first,"Indian Institute of Management, Kashipur",10.20935/al106
Ben,de Souza,first,Rhodes University,10.20935/al421
Alex,Kelman,first,"PHD, UCLA",10.20935/al3740
Ann,"Don Bosco, MA (Oxon)",additional,Canopie,10.20935/al3740
Anne,"Wanlund, MALD",additional,Canopie,10.20935/al3740
Ravindra,Ranasinha,additional,"Director - Research Centre for Dramatherapy, Sri Lanka",10.20935/al3783
Shefali,Bedi,first,,10.20935/al2145
Harry,Freemantle,first,The University of Western Australia,10.20935/al4855
Milad,Dehghani Filabadi,first,,10.20935/al4775
Carlo,Arrighi,first,Università degli Studi di Padova,10.20935/al4770
Simon Petrus,Mupupa,additional,,10.20935/al4412
Amer Hamad Issa,Abukhalaf,first,"M.E. Rinker, Sr. School of Construction Management, College of Design Construction and Planning, University of Florida",10.20935/al4588
Maryam,Kouhirostami,additional,"M.E. Rinker, Sr. School of Construction Management, College of Design Construction and Planning, University of Florida",10.20935/al4588
Mahtab,Kouhirostamkolaei,additional,"M.E. Rinker, Sr. School of Construction Management, College of Design Construction and Planning, University of Florida",10.20935/al4588
Timo,Frett,first,,10.20935/al4887
Richard,Hacken,first,Brigham Young University,10.20935/al4643
Jose,Funes,first,DC Office of Planning,10.20935/al4629
Sharanon,Chakma,additional,,10.20935/al4361
Abir Muhammed,Naeem,additional,,10.20935/al4361
Mrinmoy Kanti,Roy,additional,,10.20935/al4361
S.M. Abu,Jobaer,additional,,10.20935/al4361
Md. Mahedi,Hassan,additional,,10.20935/al4361
Samuel,Aylett,first,The Open University,10.20935/al4757
Karl,Javorszky,additional,,10.20935/al4767
George,Demetrion,first,Capital Community College,10.20935/al4764
Eirik,Stokke,additional,University of Oslo,10.20935/al4644
Giuseppe,Poderati,first,Ph.D. Candidate at the Research Institute of Environmental Law - Wuhan University (China),10.20935/al4795
Chafi,Bakari,first,Boston University,10.20935/al4760
Richard,Whitfield,first,,10.20935/al511
Nicholas,Githuku,additional,"City University of New York, York College",10.20935/al696
Bruce,Lloyd,first,,10.20935/al1208
Cristina,Serpa,first,,10.20935/al808
Peter,von Sivers,first,,10.20935/al506
Onat,Kibaroğlu,additional,,10.20935/al872
Dirk,Ehnts,first,,10.20935/al1229
Jacques,TOURET,first,,10.20935/al655
B. J.,Oropeza,first,,10.20935/al444
Jairo Eduardo,Márquez Díaz,first,,10.20935/al861
Nura Jafar,Shanono,first,,10.20935/al1191
Felix,Frain,first,,10.20935/al1304
Ananda,Majumdar,first,"University of Alberta, Harvard Graduate School of Education (Professonal)",10.20935/al1511
Bruno,Campos,first,"Getulio Vargas Foundation (Fundação Getulio Vargas), The São Paulo School of Business Administration (EAESP/SP), Graduate Student",10.20935/al1366
Rabbi Juan,Bejarano Gutierrez,additional,,10.20935/al864
Ricardo,Nirenberg,additional,,10.20935/al486
Alexander K.,Lautensach,first,,10.20935/al538
Sabina W.,Lautensach,additional,,10.20935/al538
Kathy,Lund Dean,first,,10.20935/al495
Ana María,Sastre Van De Worp,first,,10.20935/al452
Dr. Sanjay,Gupte,first,Greenarray Genomic Research and Solutions of ADPL,10.20935/al1177
Sharvari,Ozalkar,additional,Greenarray Genomic Research and Solutions of ADPL,10.20935/al1177
Dr.Preeti,Arora,additional,Greenarray Genomic Research and Solutions of ADPL,10.20935/al1177
Sreeja,Parthasarathy,additional,Greenarray Genomic Research and Solutions of ADPL,10.20935/al1177
Dr. Sarjan,Shah,additional,Greenarray Genomic Research and Solutions of ADPL,10.20935/al1177
Ian,Duckett,additional,,10.20935/al739
Justin,Ombeni,first,,10.20935/al945
Theodore,Munyuli,additional,,10.20935/al945
Judith,Makelele,additional,,10.20935/al945
Ole,Stilborg,first,,10.20935/al770
William,Varner,first,,10.20935/al287
Rachel Cecília,de Oliveira,first,Federal University of Minas Gerais - Brazil,10.20935/al353
Sujin,Jung,first,,10.20935/al942
Justin P.,Holt,first,,10.20935/al717
Dhiraj,Murthy,first,,10.20935/al314
Hassan,Dashtian,additional,,10.20935/al314
Eva,Anagnostou-Laoutides,first,,10.20935/al465
Yemima,Ben-Menahem,additional,,10.20935/al152
Debapriya,Sarkar,first,,10.20935/al1205
Kingsley Ezenwa,Izimah,first,kingsley.izimah@gmail.com,10.20935/al1566
Glenn,Varona,first,,10.20935/al1785
Otávio,Daros,first,Pontifical Catholic University of Rio Grande do Sul,10.20935/al1683
Robert,Edgell,first,State University of New York Polytechnic Institute,10.20935/al531
Jeffrey,Olney,additional,Oregon Health and Science University,10.20935/al531
Keith,Oatley,first,University of Toronto,10.20935/al110
Miguel,Rubio,first,,10.20935/al1056
Johannes,Cronje,first,,10.20935/al275
Graham,Black,first,,10.20935/al79
Marcus,Palmer,first,,10.20935/al449
Andrew D.,Cohen,first,,10.20935/al487
Mamdooh,Abdelmottlep,first,Naif Arab University for Security Sciences,10.20935/al900
Adrian,Kuzminski,first,,10.20935/al1233
Laurence,Beruin,first,,10.20935/al1027
David,Nalin,first,,10.20935/al976
Deane,Waldman,first,University of New Mexico,10.20935/al536
Henry,David Katniyon,first,,10.20935/al1188
Techi,Pius Liyas,additional,,10.20935/al1188
José Francisco,Pavia,first,Lusíada University of Lisbon,10.20935/al1633
Suhasini,Vincent,first,Université Paris 2 - Panthéon Assas,10.20935/al1185
DR. FARID S.H. M. H. M. Kn.,FARID,first,Universitas Islam Sultan Agung (FH Unissula),10.20935/al1066
Gianni,Perez,first,Nova Southeastern University,10.20935/al1239
Felipe,Teixeira Dias,first,Observatório UniFG do Semiárido Nordestino,10.20935/al1288
Deborah,Marques Pereira,additional,Observatório UniFG do Semiárido Nordestino,10.20935/al1288
Carlos Magno,Santos Clemente,additional,Observatório UniFG do Semiárido Nordestino,10.20935/al1288
Devinder Pal,Singh,first,"Center for Understanding Sikhism, Mississauga, ON, Canada",10.20935/al1573
Bhai Harbans,Lal,additional,"Professor Emeritus, G. N. D. University, Amritsar, India & University of North Texas, Texas, USA",10.20935/al1573
Mohit,Alam,first,Premier University Chittagong,10.20935/al569
John,Ryan,first,,10.20935/al1897
Zeinab,Ibrahim,first,Carnegie Mellon University in Qatar,10.20935/al143
Buluma,Enosi,first,"Kyambogo University, kampala Uganda",10.20935/al1194
Piotr,Sobolczyk,first,"Institute of Literary Research, Polish Academy of Sciences",10.20935/al1273
Ali,Bozoğlu,first,,10.20935/al1354
Gustavo,López,first,El Colegio de Michoacán,10.20935/al1649
José Roberto,González Morales,additional,,10.20935/al1649
Shiraz,Durrani,first,,10.20935/al1808
Zielfa,Maslin,first,,10.20935/al1664
Marcelo,Saad,first,Spiritist Medical Association of S. Paulo (Brazil),10.20935/al1660
Samriddhi,Khare,first,,10.20935/al1873
Godwin,Uddin,first,,10.20935/al567
Cindy,Frontado Frontado,first,,10.20935/al1289
Saraí,Belmonte Frontado,additional,,10.20935/al1289
Harry,oulton,first,,10.20935/al1201
Robert,Lane,first,,10.20935/al2267
Jorge,Bullemore,first,Universidad del Desarrollo,10.20935/al1143
Christianah,Oki,first,,10.20935/al1699
Angelica,Lo Duca,first,Consiglio Nazionale delle Ricerche (CNR),10.20935/al1926
Aleksandra,S.Mrazek,first,,10.20935/al2259
Vigneshwaran,Nadanathangam,first,ICAR-Central Institute for Research on Cotton Technology,10.20935/al1206
Komal,Saraf,additional,ICAR-Central Institute for Research on Cotton Technology,10.20935/al1206
Julian,Rivera,first,,10.20935/al972
Silvina Abril,Barbeito,additional,,10.20935/al972
Anael Rosario,Porro,additional,,10.20935/al972
Mosharop,Hossian,first,"Department of Public Health, North South University",10.20935/al1565
Ovide,Bastien,first,,10.20935/al1642
Sumbul,Tahir,first,,10.20935/al1017
Malavika,Ajikumar,first,,10.20935/al1869
Tom,Johansmeyer,first,,10.20935/al1690
Edlyne,Anugwom,first,University of Nigeria,10.20935/al1537
Ariesta Wibisono,Anditya,first,,10.20935/al1111
MFON,NWABUOKU,first,,10.20935/al1596
Michael,Depear,first,,10.20935/al1567
Paulo,Moreira,first,,10.20935/al1796
Luke,Mashburn,first,Troy University,10.20935/al1601
Ian,Anthony,first,,10.20935/al1316
Muhammad Shahadat Hossain,Siddiquee,first,,10.20935/al1225
Md. Saiful,Islam,additional,,10.20935/al1225
Paula,Koller Alonso,first,,10.20935/al1369
Ramakanta,Mohalik,first,"Regional Institute of Education (NCERT), Bhubaneswar, India",10.20935/al1353
Nico,Edwards,first,,10.20935/al2397
Pavel,Pavlov,first,"Komi Science Center Urals Division RAS Institute of Language, Literature and History",10.20935/al2077
JAYAKUMAR,ERAVELLY,first,"Hem Sheela Model School and Rabindra Protima Research Institute, Durgapur. West Bengal, India.",10.20935/al1455
SAMPURAN,BANERJEE,additional,"Hem Sheela Model School and Rabindra Protima Research Institute, Durgapur. West Bengal, India.",10.20935/al1455
SHUVAM,SANDA,additional,"Hem Sheela Model School and Rabindra Protima Research Institute, Durgapur. West Bengal, India.",10.20935/al1455
Xiangou,Shi,first,,10.20935/al1321
Baldomero,Rodriguez Corella,first,,10.20935/al1440
Roni,Reingold,first,,10.20935/al1327
Igor,Valentim,first,"Federal University of Rio de Janeiro, Brazil; Graduate Program in Education, Fluminense Federal University, Brazil; CSG/SOCIUS, ISEG, University of Lisbon, Portugal",10.20935/al1463
Sacha,Lawrence,first,,10.20935/al1401
Jacinto,Choza,first,University of Seville,10.20935/al1394
Francisco,Marqués,additional,University of Seville,10.20935/al1394
Christina,Linardaki,first,,10.20935/al1232
terrence,adagala,first,,10.20935/al1708
Amitabh,Kundu,first,,10.20935/al1896
Sonal,Mobar Roy,first,NIRDPR,10.20935/al1843
Aynur,Unal,first,"Independent Researcher. PhD in Political Sociology, University of Leicester, UK (2019), MA in International Relations (specialized in International Law and Human Rights) - Deakin University (2016) and BA degree in International Community Development - Victoria University in Australia (2014).",10.20935/al1911
Florencio (Jun),Kabigting,first,Claremont Graduate University,10.20935/al1729
Shaivika,Agrawal,first,,10.20935/al1850
Aamir,Riaz TOTO,first,,10.20935/al1698
Sukanchan,Palit,first,Assistant Professor(Selection Grade),10.20935/al2326
Akrivi,Vagena,first,,10.20935/al1207
Tibor,Fehér,first,,10.20935/al1782
Maria,El Gemayel,first,Al Jad LLP (in association with CMS Cameron Mckenna Nabarro Olswang LLP),10.20935/al1515
Roberta R.,Greene,first,Professor and Chair Emerita University of Texas-Austin,10.20935/al1728
Bushra Urooj,Panhwar,first,"Central Cotton Research Institute Sakrand, Sindh, Pakistan",10.20935/al1587
Priscilla,Eke,first,,10.20935/al1120
Neeraj Kumar,Cheryala,first,,10.20935/al1403
Kristina,de Corpo,first,,10.20935/al1635
Mohammed,Rahman,first,,10.20935/al2175
Maram,Abdulkader,additional,,10.20935/al2175
udi,adiv,first,,10.20935/al1838
Jacqueline,McCloy,first,University of Aberdeen,10.20935/al2393
Sandeep M.,Khanwalker,first,,10.20935/al1430
Prof. Andrzej Brodziak,Brodziak,first,Faculty of Medical Sciences - University of Applied Sciences,10.20935/al1534
Andrzej,Brodziak,additional,Faculty of Medical Sciences - University of Applied Sciences,10.20935/al1534
Kinga,Rajfur,additional,Faculty of Medical Sciences - University of Applied Sciences,10.20935/al1534
Anicja,Różyk-Myrta,additional,Faculty of Medical Sciences - University of Applied Sciences,10.20935/al1534
Tamara,Petrovic,first,,10.20935/al1522
Yalçın,Coşkun,first,Çanakkale Onsekiz Mart University,10.20935/al2273
Ismail,TAS,additional,Çanakkale Onsekiz Mart University,10.20935/al2273
Ayhan,Oral,additional,Çanakkale Onsekiz Mart University,10.20935/al2273
Mevlut,Akcura,additional,Çanakkale Onsekiz Mart University,10.20935/al2273
Raphael,Cohen-almagor,first,,10.20935/al1962
Mary,Drymon [DeRose],first,,10.20935/al1136
Nnadube,Ejiogu,first,,10.20935/al1422
Michail,Chalaris,first,,10.20935/al1116
Ahlam,Alharbi,first,Imam Abdulrahman Bin Faisal University,10.20935/al1508
Sabrina,Mustafa,first,,10.20935/al2336
Arvid,Lorimer Olsson,first,,10.20935/al2342
Gerald,Gutenschwager,first,,10.20935/al1395
Neetu,Gode,first,,10.20935/al1418
Heshma,Al-ruwaili,first,,10.20935/al3431
Carel,W Le-Roux,additional,,10.20935/al3431
Muhammad Khusairy,Bakri,first,"Faculty of Engineering, Universiti Malaysia Sarawak, Jalan Datuk Muhammad Musa, 94300, Kota Samarahan, Sarawak, Malaysia",10.20935/al2924
Armstrong,Omoregie,additional,"Department of Water and Environmental Engineering, School of Civil Engineering, Faculty of Engineering, Universiti Teknologi Malaysia, 81310 Skudai, Johor, Malaysia.",10.20935/al2924
Md Rezaur,Rahman,additional,"Faculty of Engineering, Universiti Malaysia Sarawak, Jalan Datuk Muhammad Musa, 94300, Kota Samarahan, Sarawak, Malaysia",10.20935/al2924
Wilfrido,Calleja-Arriaga,first,CD-MEMS INAOE,10.20935/al2756
Laxmi,Prakash,first,,10.20935/al2557
Vilém,Kmuníček,additional,,10.20935/al3515
Ayodele,Adewole,first,"Adeleke University, Ede, Osun-State",10.20935/al4693
